FISCAL_YEAR,PRODUCT,CONVEYANCE,ORIGIN,COUNT_OF_LINES,SUM_OF_MSRP,duty_rate,product_complexity,hts_chapter,country_risk_score,country_avg_value,product_risk_score,conveyance_risk_score,value_per_line,log_msrp,log_lines,tariff_evasion_incentive,high_duty_product,complex_product,is_china,is_hong_kong,is_express,high_value_seizure
2023,Clothing,Auto,People's Republic of Bangladesh,1,30,12.5,High,62,12,84575.33333333333,740,143,30.0,3.4339872044851463,0.6931471805599453,3.75,1,1,0,0,0,0
2023,Clothing,Auto,People's Republic of China,16,15691,12.5,High,62,472,14582791.302966101,740,143,980.6875,9.660906307329443,2.833213344056216,122.5859375,1,1,1,0,0,0
2023,Clothing,Auto,Republic of Honduras,4,2064,12.5,High,62,24,18814.041666666668,740,143,516.0,7.632885505395133,1.6094379124341003,64.5,1,1,0,0,0,0
2023,Clothing,Auto,Republic of the Philippines,114,1310529,12.5,High,62,138,1315450.7536231885,740,143,11495.868421052632,14.085942193509524,4.74493212836325,1436.983552631579,1,1,0,0,0,1
2023,Clothing,Auto,United Mexican States,83,63019,12.5,High,62,170,261079.97647058824,740,143,759.2650602409639,11.051207415311266,4.430816798843313,94.90813253012047,1,1,0,0,0,0
2023,Clothing,Auto,United States of America,21,77226,12.5,High,62,197,300035.71065989847,740,143,3677.4285714285716,11.254504415800406,3.091042453358316,459.67857142857144,1,1,0,0,0,0
2023,Clothing,Auto,Unknown,16,30885,12.5,High,62,345,1934068.895652174,740,143,1930.3125,10.338058285782946,2.833213344056216,241.2890625,1,1,0,0,0,0
2023,Clothing,Commercial Air,Arab Republic of Egypt,46,289362,12.5,High,62,29,90317.24137931035,740,1047,6290.478260869565,12.575437234280281,3.8501476017100584,786.3097826086956,1,1,0,0,0,1
2023,Clothing,Commercial Air,Dominican Republic,19,10551,12.5,High,62,103,334914.5048543689,740,1047,555.3157894736842,9.26407069439715,2.995732273553991,69.41447368421052,1,1,0,0,0,0
2023,Clothing,Commercial Air,Federal Democratic Republic of Ethiopia,12,7860,12.5,High,62,13,15613.846153846154,740,1047,655.0,8.969669103793757,2.5649493574615367,81.875,1,1,0,0,0,0
2023,Clothing,Commercial Air,Federal Republic of Nigeria,69,190268,12.5,High,62,95,169082.52631578947,740,1047,2757.5072463768115,12.156194139331351,4.248495242049359,344.68840579710144,1,1,0,0,0,0
2023,Clothing,Commercial Air,Federative Republic of Brazil,10,37690,12.5,High,62,26,30718.384615384617,740,1047,3769.0,10.537176618145875,2.3978952727983707,471.125,1,1,0,0,0,0
2023,Clothing,Commercial Air,French Republic,12,7810,12.5,High,62,56,22283.285714285714,740,1047,650.8333333333334,8.963288275610298,2.5649493574615367,81.35416666666667,1,1,0,0,0,0
2023,Clothing,Commercial Air,Hashemite Kingdom of Jordan,38,121208,12.5,High,62,26,81523.88461538461,740,1047,3189.684210526316,11.705271607286148,3.6635616461296463,398.7105263157895,1,1,0,0,0,0
2023,Clothing,Commercial Air,Hong Kong Special Administrative Region,409,1140240,12.5,High,62,284,8244237.552816901,740,1047,2787.8728606356967,13.946750201536878,6.016157159698354,348.4841075794621,1,1,0,1,0,1
2023,Clothing,Commercial Air,Islamic Republic of Pakistan,2,41170,12.5,High,62,54,227779.8148148148,740,1047,20585.0,10.625489404000177,1.0986122886681098,2573.125,1,1,0,0,0,0
2023,Clothing,Commercial Air,Japan,2,1720,12.5,High,62,47,14714.510638297872,740,1047,860.0,7.450660796211539,1.0986122886681098,107.5,1,1,0,0,0,0
